Codigo;Nome;Turma;Professor;CH_total;Seg;Ter;Qua;Qui;Sex;Sab;Link
SEN00072;TEORIA MICROECONÔMICA I;A1;Ana Ruiz;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447756
SEN00072;TEORIA MICROECONÔMICA I;A2;Sem professor alocado;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447757
SEN00072;TEORIA MICROECONÔMICA I;P1;Welinton Ferreira;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447929
SEN00072;TEORIA MICROECONÔMICA I;P2;Rosane Mendonca;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447930
SEN00119;TEORIA MONETÁRIA;A1;Lucas Póvoa;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447813
SEN00114;TOP ESPEC EM DESENVOLV SOCIOECONOMICO I;A1;Andre Nassif;60;;14:00-18:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447824
SEN00115;TOP ESPEC EM DESENVOLV SOCIOECONOMICO II;P1;Fernando Mattos;60;20:00-22:00;;20:00-22:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447975
SEN00088;TOP ESPEC EM ECONOMIA POLÍTICA I;P1;Paulo Araujo;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447958
SEN00122;TOPICOS ESPECIAIS EM ECONOMETRIA I;A1;Luiz Fonseca;60;16:00-18:00;;16:00-18:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447828
GGE00168;TOPICOS ESPECIAIS EM GEOGRAFIA URBANA;A1;Leda Buonfiglio;60;;;;14:00-18:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449134
SEN00107;TOPICOS ESPECIAIS EM MACROECONOMIA I;P1;Vinicius Pereira;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447981
SEN00108;TOPICOS ESPECIAIS EM MACROECONOMIA II;P1;Leon Esquierro;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447963
SGE00018;TRABALHO DE CONCLUSAO DE CURSO;AA;Javier Ghibaudi;240;;;;14:00-16:00;;11:00-18:00;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000450075
SGE00018;TRABALHO DE CONCLUSAO DE CURSO;AB;Javier Ghibaudi;240;;;;;13:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000450076
SEN00203;TÓPICOS EM TEORIA MACROECONÔMICA E ANÁLISE EMPÍRICA;A1;Gabriel Montes;60;07:00-11:00;;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447798
SEN00154;TÓPICOS ESPECIAIS DE ECONOM DO MEIO AMBIENTE;A1;Claude Cohen;60;;14:00-18:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447827
SEN00090;TÓPICOS ESPECIAIS EM ECONOMIA POLÍTICA III;A1;Bianca Bonente;60;;09:00-13:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447830
